,Count,Ratio elderly,Ratio female,Ratio children,Ratio widows in female population,Average wage earners per household,Minimum level of education,Ratio of women with 3 children and more to women,Ratio of unemployed,Ratio of low income,Ratio of high income women,Ratio of high income men,Room occupancy per household,Average household room area,Household population density,Avg no. of private/owned households w/ 5 or more rooms,Average room area per person
No religion,297,0.07407407407407407,0.32323232323232326,0.09764309764309764,0.13541666666666666,0.8644859813084113,0.03367003367003367,0.041666666666666664,0.3771043771043771,0.38047138047138046,0.5208333333333334,0.001292749987940765,0.5068259385665529,19.824232081911262,1.3878504672897196,0.14204545454545456,39.11447811447812
Jewish,143,0.43356643356643354,0.48951048951048953,0.027972027972027972,0.32857142857142857,0.43636363636363634,0.04195804195804196,0.02857142857142857,0.6643356643356644,0.6643356643356644,0.34285714285714286,0.00023153731127297284,0.4766666666666667,20.566666666666666,1.3,0.041237113402061855,43.14685314685315
Muslim,1005,0.015920398009950248,0.3661691542288557,0.29850746268656714,0.03260869565217391,0.9183673469387755,0.08159203980099503,0.1358695652173913,0.5522388059701493,0.5572139303482587,0.2391304347826087,0.003444117505185471,0.7047685834502104,20.91374474053296,2.0510204081632653,0.23478260869565218,29.67462686567164
Christian,193329,0.1436928758748041,0.5361016712443555,0.14425150908554846,0.16190035120219212,1.1677002381139283,0.07119987172126271,0.06418123576859248,0.5383413766170622,0.5412276482059081,0.41314499633360346,0.4425546283343785,0.9382261305069447,18.69255743528521,2.5293586623753828,0.20858670964905854,19.92329655664696
Other,2946,0.11744738628649015,0.48879837067209775,0.16225390359809913,0.12777777777777777,0.8071558520315343,0.07603530210454854,0.1326388888888889,0.5482009504412763,0.5502376103190767,0.3638888888888889,0.007717910375765761,0.6606862525229872,19.50414891231218,1.7865372953305034,0.17531044558071585,29.52104548540394
Unknown,24916,0.0827580671054744,0.536322042061326,0.2523679563332798,0.04512459776996183,0.7836117740652346,0.08327982019585808,0.045798099229214996,0.4465403756622251,0.45974474233424306,0.5052757614308164,0.06472432588876562,0.5669943564536684,20.33965956672128,1.4158427093987953,0.04502541757443718,35.87277251565259
Romanian,191327,0.14439676574660137,0.5360612981962818,0.14210749136295453,0.16198824137359477,1.1691381819612163,0.06861028500943411,0.0622251689205659,0.5339445033894851,0.5368452962728731,0.41693398204030696,0.4423327384110752,0.9326518574847789,18.680442423090234,2.5085814682243113,0.20378249897294443,20.029384247910645
Hungarian,349,0.3839541547277937,0.5959885386819485,0.06876790830945559,0.34134615384615385,0.4249084249084249,0.045845272206303724,0.02403846153846154,0.667621776504298,0.670487106017192,0.25,0.0006077854420915537,0.47162162162162163,20.267567567567568,1.2783882783882783,0.08403361344537816,42.97421203438395
Gypsy,3947,0.03749683303775019,0.498099822650114,0.3032683050418039,0.08799593082400814,0.880708294501398,0.20724600962756523,0.22380467955239064,0.7605776539143654,0.7615910818343046,0.20091556459816887,0.0052674738314601325,1.2482605945604048,18.00031625553447,3.6784715750232992,0.5841463414634146,14.420319229794782
German,118,0.3050847457627119,0.4406779661016949,0.13559322033898305,0.3076923076923077,0.5368421052631579,0.07627118644067797,0.0,0.5677966101694916,0.5677966101694916,0.3076923076923077,0.00033765857893975205,0.4097222222222222,20.45486111111111,1.2421052631578948,0.12643678160919541,49.92372881355932
